,id,member_id,loan_amnt,grade,desc
947,5977489,7449910,12000.0,B,"  Borrower added on 06/24/13 > I incurred credit card debt during the three years I attended law school.  I used my credit card to pay for incidental and living expenses. I currently have a stable income. However, my interest rates remain high. I am using this loan to pay off my credit card so I can plan for a future.<br>"
370,12425479,14437619,16925.0,B,  Borrower added on 03/05/14 > to consolidate  credit cards and dr bills<br>
745,11204729,13116882,16525.0,E,  Borrower added on 01/24/14 > debit consolidated and home improve<br>
913,9665554,11517647,30000.0,D,  Borrower added on 12/09/13 > this loan is to consolidate credit card debt and pay of debt<br>
239,6696557,8298824,24000.0,B,  Borrower added on 08/09/13 > I had medical and college expenses that I had to pay on a credit card and now the interest rate is to high.<br>
908,7051861,8713497,12000.0,C,  Borrower added on 09/07/13 > to consolidate debt<br>
1043,544356,702234,10000.0,B,"  Borrower added on 07/09/10 > I have some credit card debit I am looking to consolidate. I am making above minimum payments on all 4 cards now, but would love to just have one payment with lower interest than the 22% average that i have now. <br/><br/>with my current budget i will be paying 150 above the minimum payment of the requested loan.<br/><br/>I work in IT at a small office, and I do side work for little extra boost of income. i have been on the job for 3 years. <br/><br/>My wife works for a company that brokers products for grocery chains, and she has been with them for 8 years.<br/>"
156,5114925,6437172,18550.0,C,"  Borrower added on 05/17/13 > This year, I had to replace my air conditioner, which took all my savings and put me at my credit card limit. Yesterday, my refrigerator died. This loan will allow me to get off the high-priced credit cards and put my budget in order.<br>"
74,11886070,13878232,20000.0,A,"  Borrower added on 02/18/14 > have one credit card that i would like to pay off, as well as pay off my vehicle so that instead of having two payments that i need to make.  I will just have one, with money left over to put into savings.<br>"
176,7937134,9659138,7600.0,B,  Borrower added on 10/14/13 > This loan is to payoff my credit card debt.<br>
339,3359367,4173194,27600.0,E,  Borrower added on 02/13/13 > Debt consolidation for credit cards.  Ready to cut them up for good!<br>
189,9776653,11628588,14925.0,D,  Borrower added on 12/19/13 > Help get out of debt pay off really high interest rates and buy a home<br><br> Borrower added on 12/19/13 > Pay off high interest credit cards &amp; buy a home<br>
263,2372869,2835715,30000.0,D,  Borrower added on 12/12/12 > This loan is to consolidate some outstanding credit cards.<br>
524,3196670,3929501,6000.0,D,  Borrower added on 01/16/13 > When I was in college I got a little too deep in credit card.  I noticed that I keep making payments but my principal never decreases. I have a home and new vehicle and I'm in the process of getting married and starting a family. I have a great job. I'd like to have this debt erased.<br>
78,501867,645187,5000.0,C,"  Borrower added on 04/06/10 > I have never been late on any payments and take pride in having good credit and paying all my bills on time.  I plan on paying off my high interest credit cards since the credit card companies decided to hike up the rates on my cards .  Hopefully, I will be able to be a Lender down tbe road.  Thank you for your consideration.<br/>"
991,1260538,1503701,12500.0,C,  Borrower added on 04/23/12 > I have just started my career out of professional school in a stable long-term position and will use this money to pay down high-interest credit card debt.<br>
587,3244801,3986952,5000.0,C,  Borrower added on 01/22/13 > pay off my credit card<br><br> Borrower added on 01/22/13 > I want pay off my credit card<br>
721,7377129,9039180,17050.0,D,  Borrower added on 09/17/13 > Debt consolidation<br><br>  Borrower added on 09/17/13 > I am consolidating my debt.<br>
915,3628138,4580540,24000.0,A,  Borrower added on 03/01/13 > Looking to consolidate my higher interest loans and credit cards into a single payment that will allow me to reduce my debt more quickly.<br>
450,1536478,1801723,6000.0,C,"  Borrower added on 09/12/12 > I owe the IRS $2,000 and have a payment plan for $150, Also I borrower<br>$1400 Plain Green loans interest outrageous.   Would like to payoff<br>Capital one and Wells credit cards, amazon etc.  All to be used to get rid of debt.<br>"
426,2906064,3538416,9600.0,B,  Borrower added on 01/25/13 > Credit card consolidation<br>
668,3288419,4061076,24000.0,A,  Borrower added on 03/19/13 > pool<br>
2,3065932,3738376,7500.0,B,  Borrower added on 01/08/13 > I have three credit cards with large balances with high interests and unmanageable payments.  I am also paying on school loans and a car payment.<br><br> Borrower added on 01/08/13 > Credit card debt<br><br> Borrower added on 01/08/13 > This is a debt consolidation loan that will provide a more manageable payment and the connivence of only one payment per month.<br>
124,1108471,1345003,8575.0,B,"  Borrower added on 01/17/12 > loan is to consolidate, payoff and eliiminate high interest credit cards<br>"
754,994926,1219579,14400.0,B,  Borrower added on 10/18/11 > I am a young software professional that finally can say that I'm at very stable point in my life and in need of help to reach my goal of financial freedom.  And choosing lending club will help me achieve my goal quicker due to the low interest rate.  Please let me know if you have any question or need any verification regarding my salary.<br/>
103,1386686,1632445,35000.0,B,  Borrower added on 06/26/12 > Adding a pool to our current home<br>
29,1519260,1782325,10000.0,B,  Borrower added on 09/04/12 > Credit Card Consolidation<br>
933,1402285,1650997,17600.0,B,  Borrower added on 07/18/12 > I am asking for a loan to consolidate some debt and help me pay for dental work. I do not want to do this but need some help at this moment to get through. I'm on my way up but am not there yet. I appreciate the assistance.<br>
357,1520074,1783167,33950.0,E,"  Borrower added on 09/04/12 > To consolidate my debts, and improve my financial status, improve my credit rating among all the three bigs bureaus.<br><br>  Borrower added on 09/06/12 > Pay off all my debts on time, and improve my credit rating so that I can buy a house<br>"
1089,682070,871187,9000.0,B,  Borrower added on 02/22/11 > I will use this entire loan to pay credit card debt. The loan will not be used for any other purposes but to pay debt. I have always paid my loans in full and on time and you will not have any problems whatsoever with this loan. Thank you very much for the loan.<br/>
594,8405194,5297176,5450.0,C,  Borrower added on 10/22/13 > To pay off high interest credit cards. This loan will allow me to pay them all of and consolidate all my payments into one which will allow me to pay off my debt in 3 years not 10 years like some of my credit cards state.<br>
614,9006593,10798645,21000.0,A,  Borrower added on 11/15/13 > Would like to consolidate high interest credit cards into one loan.<br>
195,623565,799151,7000.0,D,"  Borrower added on 11/30/10 > This loan is to pay off higher interest rate credit cards. I will save 100 a month in payments and 650 dollars over the life of th loan. I will also be out of debt except my house in three years.<br/>If this loan is not fully funded, I do not wish to participate in any other loan amount.<br/>"
943,1636865,1909155,35000.0,B,  Borrower added on 10/19/12 > Would like to have one payment instead of multiple payments<br>
611,1816013,2118298,28000.0,A,"  Borrower added on 01/21/13 > To consolidate 3 high interest credit card bills from American Express, Discover and Costco to reduce the interest rate and monthly payments.<br>"
22,568525,731382,7000.0,F,"  Borrower added on 08/21/10 > Help us purchase our first house! Wow!!!<br/> Borrower added on 08/26/10 > Use of funds:<br/>We will use it to help with a down payment on a house.<br/><br/>Am I a Good Borrower?<br/>Yes. I've paid off several auto loans and credit cards over the years, and my &quot;low risk&quot; credit score reflects that.<br/><br/>Our Monthly Budget:<br/>Income ---- $6,230<br/>__________________<br/>Rent ------- $1,450<br/>Util ----------   $200<br/>Credit Crd -- $230<br/>Auto --------- $300<br/>Car Ins ------ $150<br/>Med Ins ----- $450<br/>Gas ---------- $200<br/>Phone ------- $150<br/>Cable -------- $125<br/>Misc ---------- $100<br/>__________________<br/>                  $3,355<br/>Net --------- $2,875<br/><br/>Do I Have a Stable Job?<br/>Yes. We have several government contracts, lasting many months, and more on the way.<br/>"
6,1333619,1578926,15000.0,D,  Borrower added on 06/07/12 > Pay off higher interest credit cards.<br>
1082,1143736,1384653,12000.0,C,  Borrower added on 02/07/12 > TO PAYOFF CREDIT CARD DEBT AT LOWER INTEREST RATE AND LOWER MONTHLY PAYMENT<br>
218,4526704,370147,16000.0,A,  Borrower added on 06/11/13 > My wife and I are updating our kitchen with new cabinets and counters.<br>
749,3335496,4127651,23000.0,C,  Borrower added on 02/06/13 > Debt consolidation<br><br> Borrower added on 02/06/13 > This is to consolidate several different credit cards and to close those debts out.<br>
1092,13016434,15048636,20000.0,D,  Borrower added on 03/15/14 > to consoildate outstanding credit card bills<br><br> Borrower added on 03/15/14 > to pay off outstanding credit card bills<br>
847,1213939,1455344,8000.0,B,"  Borrower added on 03/28/12 > Thank you for looking at my posting.  With your help, I plan on paying off all of my credit cards.  I have made bad decisions when I was younger but have taken the past few years to get everything back on track.  I much rather pay this rate vs. the cards.<br><br> Borrower added on 03/28/12 > Some additional info:<br><br>Credit Cards (Remainder-Rounded up):<br>BOA: 1100<br>Discover: 3300<br>AMEX: 1000<br>Loan: 2000<br><br>Monthly:<br>Rent: 1235<br>Car: 357<br>Fuel: 120<br>Phone: 150<br>Gym: 50<br>Food: 200<br>Ent: 150<br>Electric and Gas: 40-100<br>Cable, Home Phone, Internet: 150<br>Student &amp; Monthly Loan: 320<br><br> Borrower added on 03/28/12 > If you have any other questions, please do not hesitate to ask.  I appreciate you helping me to build a solid financial future!<br>"
338,10086616,1583659,30000.0,C,"  Borrower added on 12/24/13 > I am preparing to consolidate my debt so that I may save as well as focus on completing my student loans which are $100k. I am set up to pay off my mortgage early, I pay my low interest debt on time but I haven't been successful at saving and I won't if I can't make the most a good salary.<br>"
1093,474300,599924,12000.0,A,  Borrower added on 01/05/10 > I really want to make just one payment a month. I am never pay anything late and I have excellent credit. I want to start clean this new year. Please help me out. You will not regret it!!! I will pay on time!!!<br/>
888,10088434,11940063,19000.0,C,  Borrower added on 01/19/14 > Consolidate to lower interest rate.<br>
701,534955,691321,15400.0,B,  Borrower added on 06/22/10 > I would like to pay off a couple of debts and bank the remaining money to go towards a down payment on a home.<br/>
843,12527617,14539740,18000.0,C,  Borrower added on 03/01/14 > I am wanting to consolidate debt that I have higher interest rates on. The remaining money would be used to make a couple home repairs that I would to have done in the spring this would safe be over $100 a month.<br>
1030,850158,1061953,22000.0,E,"  Borrower added on 08/15/11 > This loan is for a debt consolidation.  I am Currently paying about $700 a month in payments. I would like to pay everything off and just be able pay one lender.  I have a good payment history, as well as a good employment history.<br/>null Borrower added on 08/21/11 > I have been at my current Job for 8 years.  I pay all my bills on time. I Have not been late on payments in over 10 Years.  Again, this loan is to consolidate all my bills into one and lower my interest on my credit cards.  Hopefully, with your help I can get funded 100 percent and be able to pay of all my debts.<br/>"
159,3374305,4317733,19000.0,B,  Borrower added on 02/16/13 > To make one payment on all of my cards.<br>
1067,10587744,12469741,5500.0,B,  Borrower added on 01/15/14 > Debt reduction. The percentage your offer is better then the credit cards I want to pay off.<br>
26,5535380,6907560,3275.0,B,  Borrower added on 05/24/13 > Pay off credit cards before student loan payments kick in.<br>
358,10556215,12438262,24000.0,A,"  Borrower added on 01/13/14 > This loan is to consolidate my debt at a MUCH better rate &amp; allow me to take the next steps to being DEBT FREE again.  After the roller coaster ride of the down economy, I've repositioned myself with a great job + pay and am focused now on complete financial freedom. Thank you to every investor!<br>"
259,1613584,1885934,28000.0,B,"  Borrower added on 10/14/12 > I'm in an excellent place in my career and at a very solid employer, but I am finding it difficult to get ahead because of high interest rates. I would like to consolidate my outstanding unsecure debt that's currently at a very high interest rate.<br>"
562,6736327,8338610,10000.0,C,  Borrower added on 08/08/13 > I am planning to pay my high interest rates whit this loan  my job is very stable a have been working there for 9 years and I am very responsible worker and very responsible whit my debts.<br>
112,7083729,8745289,28000.0,D,  Borrower added on 09/09/13 > To pay off credit card debt.<br>
985,1372051,1616636,8000.0,A,  Borrower added on 06/18/12 > I'm looking to consolidate a few higher interest credit cards.  A single monthly payment with a lower interest would make things much easier and more organized.<br>
881,585759,752564,7000.0,E,  Borrower added on 09/28/10 > We are using this money for our wedding in November. I've never missed a payment on a bill or been late. We plan to put all of the money we receive at our wedding towards this loan.<br/>
1070,2382601,2845342,5000.0,C,"  Borrower added on 12/12/12 > The loan is to consolidate debt, and eventually be debt free after 36 months.<br>"
377,1149349,1390513,2800.0,C,"  Borrower added on 02/13/12 > Being in financial management for the last 5 years, I understand the importance of prompt and responsible payments. After some medical issues popped up, I need to consolidate my debt and narrow down the number of payments I make each month. Thanks!<br><br>  Borrower added on 02/14/12 > The number of payments I am making a month to revolving debt now is three. The interest on those debts has rissen greatly recently, and this loan will be a way for me to consolidate both payments and have ONE lower interest rate. Thanks for all the questions everyone.<br>"
400,11214844,13126996,9600.0,B,  Borrower added on 01/25/14 > This loan will be to pay off high interest credit card debt and lower my monthly payment.<br>
1075,1037763,1267456,12000.0,A,  Borrower added on 11/21/11 > I am simply looking for an opportunity to continue paying off my debt at a more realistic interest rate than the banks can offer. I have NEVER missed any payment on any debt i have incurred over the years.<br>
816,3218862,3961572,16750.0,B,  Borrower added on 01/28/13 > I use my loan to consolidate my credit cards.<br>
421,12276424,14268587,30000.0,C,  Borrower added on 03/04/14 > Thank you lending club. With this loan I will be able to consolidate my debt<br>
692,529176,684356,10000.0,A,  Borrower added on 06/14/10 > This loan if for a surprise gift vacation for my girlfriend. We have been talking about this trip to Europe for sometime now. Now I want to surprise her on our 5th year anniversary.<br/><br/>I work for a software development company and I am the Director of product development with a team of 75 members.<br/><br/>I have been with this company for last 9 years and has grown personally with the company. I have a steady income and my credit rating is excellent. I never default on my payments on anything.<br/><br/>Hope this helps the lenders to qualify my application and make an informed decision.<br/>Thanks.<br/>
925,1438057,1689924,23850.0,D,  Borrower added on 08/19/12 > Tell your story. What is your loan for?<br><br> Borrower added on 08/19/12 > to pay off some of my bills and have a lkittle left over to up grade my home<br>
241,1545631,1811296,10400.0,B,  Borrower added on 09/19/12 > Consolidation Loan.<br>
826,12445969,14458101,9600.0,B,"  Borrower added on 02/26/14 > I WANT TO PAY OFF HIGH INTEREST CREDIT CARDS.  IT'S ALOT EASIER PAYING ONE PAYMENT EACH MONTH, THEN 6 PAYMENTS.<br>"
869,11386844,13329016,4000.0,C,  Borrower added on 02/12/14 > to pay off high interest credit cards<br>
141,12428311,14440424,10000.0,B,"  Borrower added on 03/03/14 > I have a current loan with Lending Club, and have found working with your company very easy.  Since my original loan, I have let my credit card debt begin to creep up.  My original intent was to not use at all. While I can make all my payments, making to just one compnay is easier for me.  Thankyou.<br>"
949,1390140,1637119,11850.0,A,"  Borrower added on 07/24/12 > Dear Investor,I need this loan to help reduce my interest rates, which will help me become debt free, in 36 month.I hope some day to become an investor with The Lending Club .Thanks,<br>"
79,724490,919607,15075.0,B,"  Borrower added on 04/12/11 > Thank you all. The funds will be used to pay off a car loan and credit cards. This will help my wife and I to get down to doing a serious budget, so we don't ever face this again. I have stayed employed steadily for 20 years, and my current credit history is my only evidence that we pay all our bills on time. One more note: my wife also works, and averages 35-40 hours per week as a school bus driver and bus trainer. Thank you all again for considering us.<br/>"
394,493190,630864,20000.0,D,"  Borrower added on 03/09/10 > Debt Consolidation<br/>No late for any payments so far<br/>Monthly budget: $8,000 including mortgage<br/>Also, I have Annuity $3,100/month from State of Illinois<br/>I have a tenure, so, I can work untill I want<br/>"
177,1387366,1633359,2650.0,C,  Borrower added on 07/12/12 > I had requested a refi home equity originally but it became costly and time consuming that we didnt expect to deal with as well as out of pocket expenses for costing cost and a appraisal. I need a roof<br>
455,6524043,8075970,19075.0,C,  Borrower added on 08/01/13 > Trying to eliminate all debt to eventually invest in a better vehicle.<br>
406,1476960,1734587,7125.0,A,  Borrower added on 08/14/12 > Just looking to lower my interest rates and get my debt under control.<br><br> Borrower added on 08/14/12 > I'm just trying to lower my interest rates and pay off some debt.<br>
674,12144835,14136986,3600.0,D,  Borrower added on 02/19/14 > My loan to to help pay off some student loans and credit cards.<br>
979,893859,1111023,8325.0,A,"  Borrower added on 09/23/11 > I have been in my position for 1.5 years. I graduated college at a difficuly time, and I was unemployed for 6 months. I am trying to reduce the debt that I accumulated during this time. I have put myself on a payment plan, and this loan will help me reduce the interest paid.<br/>"
542,1816270,2118575,6000.0,B,  Borrower added on 11/28/12 > I am trying to consolidate my debts.<br>
206,1147774,1388723,15000.0,B,  Borrower added on 02/12/12 > I am looking to pay off my credit card debt with a lower-interest loan.<br>
827,4566673,5818925,7000.0,B,  Borrower added on 05/24/13 > PAY OFF CREDIT CARDS<br><br> Borrower added on 05/24/13 > PAY OFF BILLS<br><br> Borrower added on 05/24/13 > PAY OFF CREDIT CARDS<br><br> Borrower added on 05/24/13 > PAY OFF CREDIT CARDS AND BILL CONSOLEATION<br>
1109,9646297,11498123,3200.0,C,  Borrower added on 12/10/13 > Payoff credit cards and christmas shopping.<br>
994,3734468,4857785,16000.0,C,"  Borrower added on 03/19/13 > I am carrying several credit cards with high balances. The APR is also very high. I have been trying to obtain a consolidate loan so that I can pay off the cards and close the accounts. So far, I have been unsuccessful in getting approved for a consolidation loan. I thought I would try Lending Club.<br>"
871,460957,575808,15000.0,C," 575808 added on 11/17/09 > I cosigned for my son's car loan and he lost his job.  Can't effort the extra bill.  In addition, need to get rid of two credit cards.<br/> 575808 added on 11/20/09 > Itâs very important that I get this loan because I donât want to jeopardize my credit rating due to this extra big bill (sonâs car loan).  I will never cosign for anyone again.<br/>"
708,2907061,3539510,8000.0,C,"  Borrower added on 12/31/12 > I want to pay off all of my credit cards and the one loan that I have now, but the interest is too hight.  You have a lowing interest.<br>"
283,2307795,2740175,24000.0,A,  Borrower added on 12/01/12 > credit card refinancing<br>
288,2175701,2548621,4000.0,B,  Borrower added on 11/23/12 > Thanks so much - helps a lot to get much better interest rates!<br><br> Borrower added on 11/25/12 > Pay off high interest rate credit cards.<br>
835,5175883,6498148,12000.0,B,  Borrower added on 05/22/13 > DEBT CONSOLIDATION<br>
402,1479692,1738203,16000.0,C,  Borrower added on 08/14/12 > MY LOAN IS FOR DEBT CONSOLIDATION.<br><br> Borrower added on 08/14/12 > Tell your story. What is your loan for?<br>
71,6596212,8178372,24000.0,F,  Borrower added on 08/05/13 > Personal loan to pay off  and close credit card accounts.<br>
642,3287844,4060472,35000.0,D,"  Borrower added on 01/29/13 > I am looking to consolidate all my credit card bills because of the high APR's I have been paying for many years. If I can consolidate my bills, I can achieve financial freedom and ultimately save more money to buy a house.<br>"
1017,1212797,1453949,35000.0,A,"  Borrower added on 03/29/12 > I have spent the last 16 years in the same career field, and not once have been out of work. Always good credit. The purpose of this loan is for installation of a pool. Although we have more than enough cash on hand to pay for the construction, I would rather spread out payments over a few years.<br>"
654,1388935,1635545,16000.0,D,  Borrower added on 07/10/12 > Debt Consolidation<br>
953,11405506,13337679,32000.0,B,  Borrower added on 02/27/14 > Consolidate and control credit card debt without depleting existing assets.<br>
401,3359040,4172832,15000.0,A,  Borrower added on 02/07/13 > Debt consolidation from a wedding and other misc. expenses. Forming a solid 3 year plan to be debt free.<br><br> Borrower added on 02/07/13 > Consolidating 2 credit cards from past debt. Forming a solid 3 year plan to be totally debt free! Thanks!<br>
645,6915629,8557696,21000.0,A,  Borrower added on 08/21/13 > I would like to pay off my outstanding debts sooner by making one large payment a month.<br><br> Borrower added on 08/21/13 > I would like to pay off my outstanding debts sooner by paying a larger monthly payment.<br>
194,6207809,7689923,2500.0,D,  Borrower added on 07/05/13 > Primarily to replace equipment that was stolen.<br>
770,1239026,1478989,6000.0,A,"  Borrower added on 04/11/12 > Paying off USAA commissioning loan offered upon becoming a 2LT in the US Army Reserves.  Also paying off high interest credit card from a retail store.  Will cut my montly payments by more than 60%<br><br>  Borrower added on 04/14/12 > Current monthly expenses are around $2000 including rent, all debt payments, and bills. Loan will be used to pay off two credit accounts which will reduce credit payments by more than $200 (which is more than the monthly payment of this loan), for a total reduction of 10% of monthly expenses.<br>"
873,1448828,1701524,6000.0,B,  Borrower added on 08/04/12 > Thank You in Advance.<br><br>  Borrower added on 08/08/12 > Thank you for all the Support :)<br>
