,Rank,Song,Artist,Year,Lyrics
406,15,west end girls,pet shop boys,1986, foreversometimes youre better off dead theres gun in your hand and its pointing at your head you think youre mad too unstable kicking in chairs and knocking down tablesin a restaurant in a west end town call the police theres a madman around running down underground to a dive bar in a west end townin a west end town a dead end world the east end boys and west end girls in a west end town a dead end world the east end boys and west end girls the west end girlstoo many shadows is whispering voices faces on posters too many choices if when or why what how much have you got have you got it do you get it if so how often which do you choose a hard or soft option how much do you needin a west end town a dead end world the east end boys and west end girls in a west end town a dead end world the east end boys and west end girls the west end girls the west end girlsin a west end town a dead end world the east end boys and west end girls west end town a dead end world east end boys west end girls the west end girlsyouve got a heart of glass or a heart of stone just you wait till i get you home weve got no future weve got no past here today built to last in every city and in every nation from lake geneva to the finland station how far have you beenand a west end town a dead end world the east end boys and west end girls a west end town a dead end world east end boys west end girlsthe west end girls the west end girls the west end girls how far have you beengirls east end boys 
407,16,therell be sad songs to make you cry,billy ocean,1986, sometimes i wonder by the look in your eyes when im standing beside you theres a fever burning deep inside is there another in your memory do you think of that someone when you hear that special melodyi always stop and think of you especially when the words of a love song touch the very heart of metherell be sad songs to make you cry love songs often do they can touch the heart of someone new saying i love youi often wonder how it could be you loving me two hearts in perfect harmony i count the hours until that day a rhapsody plays a melody for you and meuntil the moment when you give your love to me youre the one i care for the one that i will wait fortherell be sad songs to make you cry love songs often do they can touch the heart of someone new saying i love youtherell be sad songs to make you cry love songs often do they can touch the heart of someone new saying i love youyoure my desire you take me higher my love is like a river running so deepi always stop and think of you especially when the words of a love song touch the very heart of metherell be sad songs to make you cry love songs often do they can touch the heart of someone new saying i love youtherell be sad songs to make you cry love songs often do they can touch the heart of someone new saying i love yousaying i love you i love you 
408,17,alive and kicking,simple minds,1986, you turn me on you lift me up like the sweetest cup id share with you you lift me up dont you ever stop im here with you now its all or nothing cause you say youll follow through you follow me and i i i follow youwhat you gonna do when things go wrong what you gonna do when it all cracks up what you gonna do when the love burns down what you gonna do when the flames go upwho is gonna come and turn the tide whats it gonna take to make a dream survive whos got the touch to calm the storm inside whos gonna save youalive and kicking stay until your love is alive and kicking stay until your love is until your love is aliveoh you lift me up to the crucial top so i can see oh you lead me on till the feelings come and the lights that shine on but if that dont mean nothing like if someday it should fall through youll take me home where the magics from and ill be with youwhat you gonna do when things go wrong what you gonna do when it all cracks up what you gonna do when the love burns down what you gonna do when the flames go upwho is gonna come and turn the tide whats it gonna take to make a dream survive whos got the touch to calm the storm inside dont say goodbye dont say goodbye in the final seconds whos gonna save youoh alive and kicking stay until your love is love is alive and kicking oh alive and kicking stay until your love is love is alive and kickingalive and kicking stay until your love is alive and kicking stay until your love is alive and kicking 
409,18,never,heart,1986, hey baby im talking to you stop yourself and listen somethings you can never choose even if you try yeahyoure bangin your head again cause somebody wont let you in one chance one love your chance to let me knowwe cant go on just running away if we stay any longer we will surely never get awayanything you want we can make it happen stand up and turn around never let them shoot us downnever never never never run awayhey baby you know its true why you bother lying when you know that you want it too dont you dare deny menow walk those legs right over here give me what im dying for one chance one love hold me down never let me gowe cant go on just running away if we wait any longer we will surely never get awayanything you want we can make it happen stand up and turn around never let them shoot us downnever never never never run awaynever never never never run awayhey baby im talking to you stop yourself and listen somethings you can never never choose even if you try yeahyoure bangin your head again cause somebody wont let you in one chance one love your chance to let me knowwe cant go on just running away if we stay any longer we will surely never get awaynever never we cant go on never we cant go on nevernever never we cant go on never we cant go on never 
410,19,kiss,prince and the revolution,1986, you dont have to be beautiful to turn me on i just need your body baby from dusk till dawn you dont need experience to turn me out you just leave it all up to me im gonna show you what its all aboutyou dont have to be rich to be my girl you dont have to be cool to rule my world aint no particular sign im more compatible with i just want your extra time and yourkiss oh oh    meaning  byamandah   editor    fact prince did not intend to record kiss it was originally penned by him for funk band mazarati with more of a blues feel after putting their unique    see all   you got to not talk dirty baby if you want to impress me you cant be to flirty mama i know how to undress me yeah i want to be your fantasy maybe you could be mine you just leave it all up to me we could have a good timedont have to be rich to be my girl dont have to be cool to rule my world aint no particular sign im more compatible with i just want your extra time and yourkiss yes oh oh ohah i think i want to dance uhh ooohh gotta gotta oh little girl wendys parade gotta gotta gottawomen not girls rule my world i said they rule my world act your age mama not your shoe size not your shoe size maybe we could do the twirl you dont have to watch dynasty to have an attitude you just leave it all up to me my love will be your food yeahyou dont have to be rich to be my girl you dont have to be cool to rule my world aint no particular sign im more compatible with i just want your extra time and yourkiss 
411,20,higher love,steve winwood,1986, think about it there must be higher love down in the heart or hidden in the stars above without it life is a wasted time look inside your heart ill look inside minethings look so bad everywhere in this whole world what is fair we walk blind and we try to see falling behind in what could bebring me a higher love bring me a higher loveoh bring me a higher love wheres that higher love i keep thinking ofworlds are turning and were just hanging on facing our fear and standing out there alone a yearning and its real to me there must be someone whos feeling for methings look so bad everywhere in this whole world what is fair we walk blind and we try to see falling behind in what could bebring me a higher love bring me a higher love oh bring me a higher love wheres that higher love i keep thinking ofbring me a higher love bring me a higher love oh bring be a higher love i could rise above on a higher lovei will wait for it im not too late for it until then ill sing my song to cheer the night along bringi could light the night up with my soul on fire i could make the sun shine from pure desire let me feel that love come over me let me feel how strong it could beoh bring me a higher love bring me a higher love oh bring me a higher love wheres that higher love i keep thinking ofbring bring oh whoa bring a higher love i say bring it i said bring it bring me a higher lovewhoa whoa whoa bring me higher love bring me higher love bring that love bring me higher love oh oh i said bring oh yeah bring me higher love higher higher higher oh yeah higher love bring me higher love 
412,1,walk like an egyptian,the bangles,1987, all the old paintings on the tombs they do the sand dance dont you know if they move too quick oh whey oh theyre falling down like a dominoall the bazaar men by the nile they got the money on a bet gold crocodiles oh whey oh they snap their teeth on your cigaretteforeign types with the hookah pipes say ay oh whey oh ay oh whey oh walk like an egyptianblond waitresses take their trays they spin around and they cross the floor theyve got the moves oh whey oh you drop your drink and they give you moreall the school kids so sick of books they like the punk and the metal band when the buzzer rings oh whey oh theyre walking like an egyptianall the kids in the marketplace say ay oh whey oh ay oh whey oh walk like an egyptianslide your feet up the street bend your back shift your arm then you pull it back life is hard you know oh whey oh so strike a pose on a cadillacif you want to find all the cops theyre hanging out in the donut shop they sing and dance oh whey oh spin the clubs cruise down the blockall the japanese with their yen the party boys call the kremlin and the chinese know oh whey oh they walk the line like egyptianall the cops in the donut shop say ay oh whey oh ay oh whey oh walk like an egyptian walk like an egyptian 
413,2,alone,heart,1987, i hear the ticking of the clock im lying here the rooms pitch dark i wonder where you are tonight no answer on the telephone and the night goes by so very slow oh i hope that it wont end though alonetill now i always got by on my own i never really cared until i met you and now it chills me to the bone how do i get you alone how do i get you aloneyou dont know how long i have wanted to touch your lips and hold you tight oh you dont know how long i have waited and i was going to tell you tonight but the secret is still my own and my love for you is still unknown alonetill now i always got by on my own i never really cared until i met you and now it chills me to the bone how do i get you alone how do i get you alonehow do i get you alone how do i get you alonealone alone 
414,3,shake you down,gregory abbott,1987, oh yeah girl ive been watching you from so far across the floor now baby thats nothing new ive watched you so many times before now baby i see that look in your eyes and what its telling me and you know oh girl that im not shy im glad you picked up all my telepathy now babyyou read my mind you know girl i wanna shake you down well well i can give you all the loving you need im gonna love you come on let me take you down oh oh well go all the way to heavenoh ive been missing you and the way you make me feel inside what can i do i can tell youve got your pride now baby come to me  well well let me ease your mind oh baby ive got the remedy yes i do now give me just a little timeyou read my mind girl i wanna shake you down i can give you all the loving you need im gonna love you come on let me take you down well well well go all the way to heavengirl ive been missing you and you know its funny everytime i get to feel in this way i wish i had you near me i wanna reach out and touch youi cant stop thinking of the things you do the way you call me baby when im holding you i shake and i shiver when i know you near then you whisper in my ears oh baby well wellyou read my mind girl i wanna shake you down i can give you all the loving you need im gonna love you come on let me take you down well well well go all the way to heaven 
415,4,i wanna dance with somebody who loves me,whitney houston,1987, clock strikes upon the hour and the sun begins to fade still enough time to figure out how to chase my blues away ive done alright up to now its the light of day that shows me how and when the night falls loneliness callsoh i wanna dance with somebody i wanna feel the heat with somebody yeah i wanna dance with somebody with somebody who loves me oh i wanna dance with somebody i wanna feel the heat with somebody yeah i wanna dance with somebody with somebody who loves meive been in love and lost my senses spinning through the town sooner or later the fever ends and i wind up feeling down i need a man wholl take a chance on a love that burns hot enough to last so when the night falls my lonely heart callsoh i wanna dance with somebody i wanna feel the heat with somebody yeah i wanna dance with somebody with somebody who loves me oh i wanna dance with somebody i wanna feel the heat with somebody yeah i wanna dance with somebody with somebody who loves mesomebody oo somebody oo somebody who loves me yeah somebody oo somebody oo to hold me in his arms oh i need a man wholl take a chance on a love that burns hot enough to last so when the night falls my lonely heart callsoh i wanna dance with somebody i wanna feel the heat with somebody yeah i wanna dance with somebody with somebody who loves me oh i wanna dance with somebody i wanna feel the heat with somebody yeah i wanna dance with somebody with somebody who loves medontcha wanna dance with me baby dontcha wanna dance with me boy hey dontcha wanna dance with me baby with somebody who loves medontcha wanna dance say you wanna dance dontcha wanna dance dontcha wanna dance say you wanna dance dontcha wanna dance dontcha wanna dance say you wanna dance with somebody who loves me dance 
416,5,nothings gonna stop us now,starship,1987, looking in your eyes i see a paradise this world that i found is too good to be true standing here beside you want so much to give you this love in my heart that im feeling for youlet them say were crazy i dont care about that put your hand in my hand baby dont ever look back let the world around us just fall apart baby we can make it if were heart to heartand we can build this dream together standing strong forever nothings gonna stop us now and if this world runs out of lovers well still have each other nothings gonna stop us nothings gonna stop us nowim so glad i found you im not gonna lose you whatever it takes i will stay here with you take it to the good times see it through the bad times whatever it takes is what im gonna dolet them say were crazy what do they know put your arms around me baby dont ever let go let the world around us just fall apart baby we can make it if were heart to heartand we can build this dream together standing strong forever nothings gonna stop us now and if this world runs out of lovers well still have each other nothings gonna stop us nothings gonna stop us nowall that i need is you all that i ever need and all that i want to do is hold you forever forever and everand we can build this dream together standing strong forever nothings gonna stop us now and if this world runs out of lovers well still have each other nothings gonna stop us nothings gonna stop usand we can build this dream together standing strong forever nothings gonna stop us now and if this world runs out of lovers well still have each other nothings gonna stop usand we can build this dream together standing strong forever nothings gonna stop us now and if this world runs out of lovers well still have each other nothings gonna stop us nothings gonna stop us now 
417,6,cest la vie,robbie nevil,1987, got a job thats okay but theyve got me workin night and day punchin in punchin out is this really what lifes all aboutwhatcha gonna do whatcha gonna feel i dont know whatcha gonna feel whatcha gonna do wont someone tell mewhatcha wanna say whatcha wanna do theres only one thing left to say whatcha wanna do whatcha wanna saycest la vie cest la vie thats just the way it goes thats life cest la vie cest la vie thats just the way it goes thats lifebabys gone all alone are you sad because youre on your own get back up party down theres so many good ones still aroundwhatcha gonna do whatcha gonna feel i dont know whatcha gonna feel whatcha gonna do wont someone tell mewhatcha wanna say whatcha wanna do i guess theres just one thing to say whatcha gonna do whatcha wanna saycest la vie cest la vie thats just the way it goes thats life cest la vie cest la vie thats just the way it goes thats lifehey its jj what you been doin you say your car broke down the thing just isnt movin say jj dont you know when youre down theres just one way to go and thats singincest la vie cest la vie thats just the way it goes thats life cest la vie cest la vie thats just the way it goes thats lifecest la vie cest la vie thats just the way it goes thats life cest la vie cest la vie thats just the way it goes thats lifecest la vie cest la vie thats just the way it goes thats life cest la vie cest la vie thats just the way it goes thats life  
418,7,here i go again,whitesnake,1987, i dont know where im goin but i sure know where ive been hanging on the promises in songs of yesterday an ive made up my mind i aint wasting no more time here i go again here i go againtho i keep searching for an answer i never seem to find what im looking for oh lord i pray you give me strength to carry on cause i know what it means to walk along the lonely street of dreamshere i go again on my own goin down the only road ive ever known like a drifter i was born to walk alone an ive made up my mind i aint wasting no more timejust another heart in need of rescue waiting on loves sweet charity an im gonna hold on for the rest of my days cause i know what it means to walk along the lonely street of dreamsand here i go again on my own goin down the only road ive ever known like a drifter i was born to walk alone an ive made up my mind i aint wasting no more time but here i go again here i go again here i go again here i gocause i know what it means to walk along the lonely street of dreams here i go again on my own goin down the only road ive ever known like a drifter i was born to walk alone an ive made up my mind i aint wasting no more time here i go again on my own goin down the only road ive ever known like a drifter i was born to walk alone cause i know what it means to walk along the lonely street of dreamshere i go again on my own goin down the only road ive ever known like a drifter i was born to walk alone 
419,8,the way it is,bruce hornsby and the range,1987, standing in line marking time waiting for the welfare dime cause they cant buy a job the man in the silk suit hurries by as he catches the poor ladies eyes just for fun he says get a jobthats just the way it is some things will never change thats just the way it is ah but dont you believe themsaid hey little boy you cant go where the others go cause you dont look like they do said hey old man how can you stand to think that way did you really think about it before you made the ruleshe said son thats just the way it is some things will never change thats just the way it is ah but dont you believe themthats just the way it is thats just the way it iswell they passed a law in 64 to give those who aint got a little more but it only goes so far because the law dont change anothers mind when all it sees at the hiring time is the line on the color bar no no nothats just the way it is some things will never change thats just the way it is thats just the way it is it is it is it is 
420,9,shakedown,bob seger,1987, no matter what you think you pull youll find its not enough no matter who you think you know you wont get through its a given la law someones faster on the draw no matter where you hide im comin after you yeahno matter how the race is run it always ends the same another room without a view awaits downtown you can shake me for a while live it up in style no matter what you do im gonna take you downshakedown breakdown takedown everybody wants into the crowded line breakdown takedown youre busted let down your guard honey just about the time youre thinkin its alright breakdown takedown youre bustedthis is a town where everyone is reachin for the top this is a place where second best will never do its okay to want to shine but once you step across that line no matter where you hide im comin after youshakedown breakdown takedown everybody wants into the crowded line breakdown takedown youre busted shakedown breakdown honey just about the time youre thinkin its alright breakdown takedown youre bustedah busted aw aw shakedown breakdown takedown everybody wants into the crowded line breakdown takedown youre busted shakedown breakdown honey just about the time youre thinkin its alright breakdown takedown youre bustedshakedown breakdown takedown everybody wants into the crowded line breakdown takedown youre busted let down your guard honey just about the time youre thinkin its alright breakdown takedown ah youre bustedshakedown breakdown takedown everybody wants into the crowded line breakdown takedown youre busted let down your guard honey just about the time youre thinkin its alright 
421,10,livin on a prayer,bon jovi,1987, once upon a time not so long ago tommy used to work on the docks unions been on strike hes down on his luck its tough so tough gina works the diner all day working for her man she brings home her pay for love for loveshe says weve got to hold on to what weve got it doesnt make a difference if we make it or not weve got each other and thats a lot for love well give it a shotwoah were half way there woah livin on a prayer take my hand well make it i swear woah livin on a prayertommys got his sixstring in hock now hes holding in what he used to make it talk so tough its tough gina dreams of running away when she cries in the night tommy whispers baby its okay somedayweve got to hold on to what weve got it doesnt make a difference if we make it or not weve got each other and thats a lot for love well give it a shotwoah were half way there woah livin on a prayer take my hand well make it i swear woah livin on a prayer livin on a prayeroh weve got to hold on ready or not you live for the fight when its all that youve got woah were half way there woah livin on a prayer take my hand well make it i swear woah livin on a prayerwoah were half way there woah livin on a prayer take my hand well make it i swear woah livin on a prayerwoah were half way there woah livin on a prayer take my hand well make it i swear woah livin on a prayer 
422,11,la bamba,los lobos,1987, para bailar la bamba para bailar la bamba se necesita una poca de gracia una poca de gracia pa mi pa ti y arriba y arriba ah y arriba y arriba por ti ser̩ por ti ser̩ por ti ser̩yo no soy marinero yo no soy marinero soy capit?n soy capit?n soy capit?nbamba bambapara bailar la bamba para bailar la bamba se necesita una poca de gracia una poca de gracia pa mi pa ti ah y arriba y arribapara bailar la bamba para bailar la bamba se necesita una poca de gracia una poca de gracia pa mi pa ti ah y arriba y arriba ah y arriba y arriba por ti ser̩ por ti ser̩ por ti ser̩bamba bamba 
423,12,everybody have fun tonight,wang chung,1987, ill drive a million miles to be with you tonight so if youre feeling low turn up your radio the words we use are strong they make reality but now the musics on oh baby dance with me yeahrip it up move down rip it up move it down to the ground rip it up cool down rip it up and get the feeling not the wordeverybody have fun tonight everybody have fun tonight everybody wang chung tonight everybody have fun tonight everybody wang chung tonight everybody have fundeep in the world tonight our hearts beat safe and sound ill hold you so close just let yourself go downrip it up move down rip it up move it down to the ground rip it up cool down rip it up get out whats inside of youeverybody have fun tonight everybody have fun tonight everybody wang chung tonight everybody have fun tonight everybody have fun tonight everybody wang chung tonight everybody have funon the edge of oblivion all the world is babylon and all the love and evryone a ship of fools sailing on everybody everybody have fun tonight everybody everybody have fun tonightacross the nation around the world everybody have fun tonight a celebration so spread the wordeverybody have fun tonight everybody have fun tonight everybody wang chung tonight everybody have fun tonight everybody wang chung tonight everybody have fun tonight everybody have funeverybody everyone 
424,13,dont dream its over,crowded house,1987, there is freedom within there is freedom without try to catch the deluge in a paper cup theres a battle ahead many battles are lost but youll never see the end of the road while youre traveling with mehey now hey now dont dream its over hey now hey now when the world comes in they come they come to build a wall between us we know they wont winnow im towing my car theres a hole in the roof my possessions are causing me suspicion but theres no proof in the paper today tales of war and of waste but you turn right over to the tv pagehey now hey now dont dream its over hey now hey now when the world comes in they come they come to build a wall between us we know they wont winnow im walking again to the beat of a drum and im counting the steps to the door of your heart only shadows ahead barely clearing the roof get to know the feeling of liberation and releasehey now hey now dont dream its over hey now hey now when the world comes in they come they come to build a wall between us we know they wont windont let them win hey now hey now hey now hey now hey now hey now dont let them win they come they come dont let them win hey now hey now hey now hey now 
425,14,always,atlantic starr,1987, girl you are to me all that a woman should be and i dedicate my life to you always the love like yours is grand it must have been sent from up above and i know youll stay this way for alwaysand we both know that our love will grow and forever it will be you and me hey ooh your life is sun chasing all the rain away when you come around you bring brighter day youre the perfect one for me and you forever well be and i will love you so for alwayscome with me my sweet lets go make a family and they will bring us joy for always oh boy i love your soul i cant find enough ways to let you know but you can be sure of course for alwaysand we both know that our love will grow and forever it will be you and me hey ooh your life is sun chasing all the rain away when you come around you bring brighter day youre the perfect one for me and you forever well be and i will love you so for always 
426,15,with or without you,u2,1987, see the stone set in your eyes see the thorn twist in your side i wait for you sleight of hand and twist of fate on a bed of nails she makes me wait and i wait without youwith or without you with or without youthrough the storm we reach the shore you give it all but i want more and im waiting for youwith or without you with or without you i cant live with or without youand you give yourself away and you give yourself away and you give and you give and you give yourself awaymy hands are tied my body bruised shes got me with nothing to win and nothing left to loseand you give yourself away and you give yourself away and you give and you give and you give yourself awaywith or without you with or without you i cant live with or without you ohwith or without you with or without you i cant live with or without youwith or without you 
427,16,looking for a new love,jody watley,1987, hasta la vista babyyou gave me love you did me wrong didnt know what to do but baby im strong gonna get over you a new boy im gonna choose  youll seemy love was true still you threw it all away now other guys will have me theyll appreciate my love tell me how does it feelyou know that i needed you you know that you meant the world to me you know i had to have you now im gonna find somebody newim looking for a new love baby a new love yeah yeah yeah im looking for a new love baby a new love yeah yeah yeahwas she hot did she turn you out curiosity rules my brain was she worth my heart its torn all apart are you going back again tell memy love was true still you threw it all away but now youre like the rest unworthy of my best hasta la vista babyyou know that i needed you you know that you meant the world to me you know i had to have you now im gonna find somebody newim looking for a new love baby a new love yeah yeah yeah im looking for a new love baby a new love yeah yeah yeahim looking for a new love baby a new love yeah yeah yeah im looking for a new love baby a new love yeah yeah yeahyou know that i needed you you know that you meant the world to me i had to have you now im gonna find somebody newim looking for a new love baby a new love yeah yeah yeah im looking for a new love baby a new love yeah yeah yeahim looking for a new love baby a new love yeah yeah yeah im looking for a new love baby a new love yeah yeah yeahother guys will have me theyll appreciate my love tell me how does it feel now youre like the rest unworthy of my best hasta la vista babyim looking for a new love baby other guys will have me theyll appreciate my love im looking for a new love baby tell me how does it feel im looking for a new love baby now youre like the rest unworthy of my bestim looking for a new love baby a new love im looking for a new love baby a new love im looking for a new love baby a new love hasta la vista baby 
428,17,head to toe,lisa lisa and cult jam,1987,lisa lisa miscellaneous head to toe head to toe lisa lisa and cult jam full force head to toe i know today started with a crazy kiss on our way home we were in for a surprise who would have known who would have thought that we would become lovers as friends we were so so tight cant help myself you make me feel so right i got to got to got to tell you darlinds are forever top to bottom i love you i will leave you never i got to got to got to tell you darlinbaby i want to kiss you from head to toe ooh baby i think i love you you got to know ooh baby i think i love you from head to toe transcribed by char star
429,18,i think were alone now,tiffany,1987, children behave thats what they say when were together and watch how you play they dont understand and so wererunning just as fast as we can holding on to one another hands trying to get away into the night and then you put your arms around me and we tumble to the ground and then you sayi think were alone now there doesnt seem to be anyone around i think were alone now the beating of our hearts is the only soundlook at the way we gotta hide what were doin cause what would they say if they ever knew and so wererunning just as fast as we can holding on to one another hands trying to get away into the night and then you put your arms around me and we tumble to the ground and then you sayi think were alone now there doesnt seem to be anyone around i think were alone now the beating of our hearts is the only soundi think were alone now there doesnt seem to be anyone around i think were alone now the beating of our hearts is the only soundrunning just as fast as we can holding on to one another hands trying to get away into the night and then you put your arms around me and we tumble to the ground and then you sayi think were alone now there doesnt seem to be anyone around i think were alone now the beating of our hearts is the only soundi think were alone now there doesnt seem to be anyone around i think were alone now the beating of our hearts is the only soundi think were alone now there doesnt seem to be anyone around i think were alone now the beating of our hearts is the only soundi think were alone now there doesnt seem to be anyone around i think were alone now the beating of our hearts is the only sound 
430,19,mony mony,billy idol,1987, here she comes now sayin mony mony shoot em down turn around come on mony hey she give me love and i feel all right nowturn it in you gotta toss and turn and feel all right yeah i feel all right i said yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahcause you make me feel like a pony so good like a pony so good like a pony so good mony monyso fine mony mony so fine mony mony its all mine mony mony well i feel all right mony mony i said yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahwell you could shake it mony mony shotgun dead and ill come on mony dont stop cookin cause i feel all right now heybut dont stop now come on mony come on yeah i said yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahcause you make me feel like a pony so good like a pony so good like a pony well i feel all right mony monyyou so fine mony mony you so fine mony mony you so fine mony mony well i feel all right mony mony i said yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahooh i love you mony momomony ooh i love you mony momomony said i do ooh i love you mony momomony said i do ooh i love you mony momomony said i doooh i love you mony momomony said i do ooh i love you mony momomony said i do ooh i love you mony momomony said i do ooh i love you mony momomonyyeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahcome on come on come on come on come on come on come on come on come on come on feel all right come on i said yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahwake it shake it mony mony up down turn around come on mony hey she give me love and i feel all right nowi said dont stop now come on mony come on mon i said yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahcause you make me feel like a pony so good like a pony so good like a pony so good like a ponyfeel alright mony mony all right mony mony so fine mony mony well i feel all right mony mony i said yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahi wanna ride your pony ride your pony ride your pony come on come on come on mony mony mony mony feel all right mony mony mony mony i said yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahcause you make me feel like a pony so good like a pony so good like a pony so good come onmony mony yeah mony mony all right mony mony well i feel so good mony mony i said yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah 
431,1,faith,george michael,1988, well i guess it would be nice if i could touch your body i know not everybody has got a body like you uhhbut ive got to think twice before i give my heart away and i know all the games you play because i play them toooh but i need some time off from that emotion time to pick my heart up off the floor oh when that love comes down without devotion well it takes a strong man baby but im showing you the doorcause i gotta have faith i gotta faith because i gotta to have faith faith i gotta to have faith faith faithbaby i know youre asking me to stay say please please please dont go away you say im giving you the blues maybe you mean every word you say cant help but think of yesterday and another who tied me down to lover boy rulesbefore this river becomes an ocean before you throw my heart back on the floor oh baby i reconsider my foolish notion well i need someone to hold me but i wait for something moreyes ive gotta have faith unh i gotta faith because i gotta to have faith faith faith i gotta to have faith faith faithi just got to wait because i got to have faith i gotta have faith i gotta gotta gotta have faithbefore this river becomes an ocean before you throw my heart back on the floor oh baby i reconsider my foolish notion well i need someone to hold me but i wait for something morecause ive gotta have faith unh i gotta faith because i gotta to have faith faith faith i gotta to have faith faith faith 
432,2,need you tonight,inxs,1988, come over hereall you got is this moment the twentyfirst centurys yesterday you can care all you want everybody does yeah thats okayso slide over here and give me a moment your moves are so raw ive got to let you know ive got to let you know youre one of my kindi need you tonight cause im not sleeping theres something about you girl that makes me sweathow do you feel im lonely what do you think cant take it all what ya gonna do gonna live my lifeso slide over here and give me a moment your moves are so raw ive got to let you know ive got to let you know youre one of my kindi need you tonight cause im not sleeping theres something about you girl that makes me sweatso how do you feel im lonely what do you think cant think at all whatcha gonna do gonna live my lifeso how do you feel im lonely what do you think cant think at all whatcha gonna do gonna live my lifeso slide over here and give me a moment your moves are so raw ive got to let you know ive got to let you knowso slide over here and give me a moment ive got to let you know ive got to let you knowyoure one of my kind 
433,3,got my mind set on you,george harrison,1988, i got my mind set on you i got my mind set on you i got my mind set on you i got my mind set on youbut its gonna take money a whole lotta spending money its gonna take plenty of money to do it right childits gonna take time a whole lot of precious time its gonna take patience and time umm to do it to do it to do it to do it to do it to do it right childi got my mind set on you i got my mind set on you i got my mind set on you i got my mind set on youand this time i know its for real the feelings that i feel i know if i put my mind to it i know that i really can do iti got my mind set on you set on you i got my mind set on you set on youbut its gonna take money a whole lotta spending money its gonna take plenty of money to do it right childits gonna take time a whole lot of precious time its gonna take patience and time umm to do it to do it to do it to do it to do it to do it right childi got my mind set on you i got my mind set on you i got my mind set on you i got my mind set on youand this time i know its for real the feelings that i feel i know if i put my mind to it i know that i really can do itbut its gonna take money a whole lotta spending money its gonna take plenty of money to do it right childits gonna take time a whole lot of precious time its gonna take patience and time umm to do it to do it to do it to do it to do it to do it rightset on you set on youset on you set on youset on you set on you 
434,4,never gonna give you up,rick astley,1988, ooh oohwere no strangers to love you know the rules and so do i a full commitments what im thinking of you wouldnt get this from any other guy i just wanna tell you how im feeling gotta make you understandnever gonna give you up never gonna let you down never gonna run around and desert you never gonna make you cry never gonna say goodbye never gonna tell a lie and hurt youweve known each other for so long your hearts been aching but youre too shy to say it inside we both know whats been going on we know the game and were gonna play it and if you ask me how im feeling dont tell me youre too blind to seenever gonna give you up never gonna let you down never gonna run around and desert you never gonna make you cry never gonna say goodbye never gonna tell a lie and hurt younever gonna give you up never gonna let you down never gonna run around and desert you never gonna make you cry never gonna say goodbye never gonna tell a lie and hurt youooh give you up ooh give you up ooh never gonna give never gonna give give you up ooh never gonna give never gonna give give you upweve know each other for so long your hearts been aching but youre too shy to say it inside we both know whats been going on we know the game and were gonna play iti just wanna tell you how im feeling gotta make you understandnever gonna give you up never gonna let you down never gonna run around and desert you never gonna make you cry never gonna say goodbye never gonna tell a lie and hurt younever gonna give you up never gonna let you down never gonna run around and desert you never gonna make you cry never gonna say goodbye never gonna tell a lie and hurt younever gonna give you up never gonna let you down never gonna run around and desert you never gonna make you cry never gonna say goodbye never gonna tell a lie and hurt you 
435,5,sweet child o mine,guns n roses,1988, shes got a smile it seems to me reminds me of childhood memories where everything was as fresh as the bright blue sky now and then when i see her face she takes me away to that special place and if id stare too long id probably break down and cryoh oh oh sweet child o mine oh oh oh oh sweet love of mineshes got eyes of the bluest skies as if they thought of rain i hate to look into those eyes and see an ounce of pain her hair reminds me of a warm safe place where as a child id hide and pray for the thunder and the rain to quietly pass me byoh oh oh sweet child o mine oh oh oh oh sweet love of mineoh oh oh oh sweet child o mine oh oh oh oh sweet love of mineoh oh oh oh sweet child o mine oh sweet love of minewhere do we go where do we go now where do we go oh oh where do we go oh where do we go now where do we go oh sweet child where do we go now oh where do we go now oh where do we go oh where do we go now oh where do we go where do we go now where do we go oh where do we go now no no no no no no sweet child sweet child of mine 
436,6,so emotional,whitney houston,1988, ive been hearing your heartbeat inside of me i keep your photo right beside my bed livin in a world of fantasies i cant get you out of my headive been waiting for the phone to ring all night why you want to make me feel so good i got a love of my own shouldnt get so hung up on youi remember the way that we touched i wish i didnt like it so much i get so emotional baby every time i think of you i get so emotional babyaint it shocking what love can do aint it shocking what love can doi gotta watch you walk in the room baby i gotta watch you walk out i like the animal way you move and when you talk i just watch your mouthi remember the way that we touched i wish i didnt like it so much i get so emotional baby every time i think of you i get so emotional baby 
